epoch,TRA,DET,LNK
0,0.9883508247931166,0.9923682140047206,0.9613000635727909
1,0.9976502986792349,0.9996066089693155,0.9844776435685526
2,0.9984278237518496,0.9998033044846577,0.9891661368934096
3,0.9983370554063682,0.9997246262785209,0.9889939605848697
4,0.9984894777223653,0.9995279307631786,0.991497139224412
5,0.998850838493999,0.9998426435877262,0.9921726001271456
6,0.99890050419247,0.9997246262785209,0.9933513456240729
7,0.9985648325752179,0.999567269866247,0.9918150031786396
8,0.9973779936427906,0.9989378442171518,0.9868748675566857
9,0.9972426974297145,0.998859166011015,0.9863583386310659
