epoch,TRA,DET,LNK
0,0.9907861566284869,0.9942171518489379,0.967683831320195
1,0.9980578999287554,0.9996852871754524,0.9871000211909303
2,0.9982531375020551,0.9996852871754524,0.9886098749735114
3,0.9984089850386365,0.9996852871754524,0.989815109133291
4,0.9984723516194443,0.9996852871754524,0.9903051493960585
5,0.9988525511042912,0.9997246262785209,0.9929805043441408
6,0.9972975009590618,0.9987018095987411,0.9878417037507946
7,0.9984757768400285,0.9995279307631786,0.9913911845730028
8,0.998367882391626,0.9994492525570416,0.9910865649502013
9,0.9985357182002521,0.9998033044846577,0.990000529773257
10,0.9982103222447526,0.9993705743509048,0.9903978597160416
11,0.9987926097440675,0.9998033044846577,0.9919871794871795
12,0.9978147092672768,0.9992918961447679,0.987868192413647
13,0.9978249849290294,0.9992918961447679,0.9879476584022039
14,0.9981640817668658,0.9994492525570416,0.9895104895104895
15,0.998051049487587,0.9994492525570416,0.9886363636363636
16,0.9980099468405765,0.9992525570416995,0.989642932824751
17,0.9971176768783909,0.9988198269079465,0.9856563890654799
18,0.9983918589357155,0.9994099134539732,0.9915368722186904
19,0.9971056886063463,0.998780487804878,0.98582856537402
20,0.9975201402970352,0.999213217938631,0.9861199406653952
21,0.9963761166219105,0.9986624704956727,0.9809811400720492
22,0.9978112840466926,0.9992918961447679,0.9878417037507946
23,0.9966056064010522,0.998859166011015,0.9814314473405382
24,0.9972084452238724,0.9990952006294257,0.984504132231405
25,0.9976211843042692,0.9991345397324941,0.9874311294765841
26,0.9973420288266565,0.9990952006294257,0.9855371900826446
27,0.9984415246341865,0.9995279307631786,0.9911262979444798
28,0.9972101578341646,0.998859166011015,0.9861066963339691
29,0.9971176768783909,0.9989771833202203,0.984596842551388
