epoch,TRA,DET,LNK
0,0.9858212993916808,0.990558615263572,0.9539229709684255
1,0.997850674083411,0.9994885916601102,0.9868218902309811
2,0.9983593193401655,0.9997639653815893,0.9889012502648866
3,0.9984894777223653,0.9997246262785209,0.990172706081797
4,0.9988474132734148,0.9996852871754524,0.9932056579783852
5,0.9987583575382255,0.9996459480723839,0.9927818393727484
6,0.9983764454430866,0.9994885916601102,0.9908878999788091
7,0.9972803748561407,0.9984657749803304,0.9892985802076711
8,0.997585219488135,0.9991738788355625,0.9868881118881119
9,0.9984723516194443,0.999567269866247,0.9910998092816274
10,0.9975800816572588,0.998780487804878,0.9894972451790633
11,0.9976537238998191,0.9989771833202203,0.9887423182877728
12,0.9984072724283444,0.9996459480723839,0.9900667514303878
13,0.9975612429440456,0.9992918961447679,0.9859080313625768
14,0.9978301227599058,0.9994099134539732,0.9871927315109134
15,0.9975835068778429,0.999213217938631,0.9866099809281628
16,0.996434345371842,0.9982690794649882,0.9840803136257682
17,0.9969447032388886,0.9988985051140834,0.9837889383343928
18,0.9970543102975832,0.9990165224232888,0.9838419156600975
19,0.9964411958130104,0.9986231313926043,0.9817493112947658
20,0.9968316709596098,0.9988985051140834,0.982914812460267
21,0.9960164684605689,0.9987018095987411,0.9779349438440348
22,0.9978164218775689,0.9994099134539732,0.9870867768595041
23,0.9951310489395517,0.9981117230527145,0.9750609239245603
24,0.9956568202992273,0.9981510621557829,0.9788620470438653
25,0.9970954129445936,0.998780487804878,0.9857490993854631
