epoch,TRA,DET,LNK
0,0.9914318107086096,0.9950432730133753,0.9671143250688705
1,0.9981880583109553,0.9997246262785209,0.9878417037507946
2,0.9983062284211103,0.9997246262785209,0.988755562619199
3,0.99853400558996,0.9996066089693155,0.9913117185844459
4,0.998684715295665,0.9996459480723839,0.992212333121424
5,0.9975732312160903,0.9985837922895358,0.9907687009959737
6,0.9984089850386365,0.9994492525570416,0.9914044289044289
7,0.9972838000767249,0.9985837922895358,0.9885304089849545
8,0.9980647503699238,0.9992918961447679,0.9898018648018648
9,0.9987720584205623,0.9996459480723839,0.9928877940241576
10,0.998152093494821,0.9993705743509048,0.9899475524475525
11,0.9987275305529676,0.9996066089693155,0.9928083280356008
12,0.9966552720995232,0.9981117230527145,0.9868483788938335
13,0.9973197648928591,0.9988985051140834,0.9866894469167197
14,0.9977051022085822,0.9991345397324941,0.9880801017164653
15,0.9979876829067792,0.9994099134539732,0.9884112100021191
16,0.9975475420617088,0.999213217938631,0.9863318499682137
17,0.9974790376500247,0.9991738788355625,0.9860669633396906
18,0.9971656299665699,0.999213217938631,0.9833783640601822
19,0.995718474269743,0.9981904012588513,0.9790739563466836
20,0.9979602811421056,0.9993705743509048,0.9884641873278237
21,0.9973266153340276,0.9990165224232888,0.9859477643568553
22,0.9938448786101824,0.9966955153422502,0.9746503496503497
23,0.9964959993423577,0.998426435877262,0.9834975630430176
24,0.9951087850057544,0.9981904012588513,0.9743589743589743
25,0.9976571491204034,0.9993312352478364,0.9863848272939182
26,0.9960061927988162,0.998426435877262,0.9797096842551388
27,0.9975424042308325,0.9993312352478364,0.9854974570883662
28,0.9964052309968762,0.9987411487018096,0.9806765204492477
29,0.9961055241957582,0.9982690794649882,0.9815374019919475
30,0.9952303803364937,0.9980330448465775,0.976358868404323
31,0.9970697237902121,0.9990558615263572,0.9836962280144098
32,0.9978386858113663,0.9994885916601102,0.9867291799109981
33,0.9970577355181673,0.9989771833202203,0.9841332909514727
