epoch,TRA,DET,LNK
0,0.9919438811859483,0.9957513768686074,0.9663064208518753
1,0.9976794130542007,0.999567269866247,0.9849676838313202
2,0.9984552255165232,0.9998033044846577,0.989378046196228
3,0.9985614073546336,0.9996459480723839,0.9912587412587412
4,0.9986470378692388,0.9995279307631786,0.9927156177156177
5,0.9987703458102701,0.9996459480723839,0.9928745496927315
6,0.9987018413985861,0.9996066089693155,0.9926096630642085
7,0.9986641639721598,0.9995279307631786,0.9928480610298792
8,0.9988953663615937,0.9996852871754524,0.9935764992583175
9,0.998467213788568,0.999567269866247,0.991060076287349
10,0.9981572313256973,0.9995279307631786,0.9889277389277389
11,0.9975458294514167,0.9991738788355625,0.9865834922653105
12,0.9982771140461446,0.9995279307631786,0.9898548421275694
13,0.997199882172412,0.9991738788355625,0.9839081373172283
14,0.9975081520249904,0.999213217938631,0.9860272303454122
15,0.9981623691565736,0.9994099134539732,0.9897621318075863
16,0.9975920699293035,0.9993705743509048,0.9856166560712015
17,0.9969207266947991,0.9987411487018096,0.9846630642085188
18,0.9969292897462596,0.998859166011015,0.9839346259800805
19,0.9974190962898011,0.9992918961447679,0.9848087518542064
20,0.9970029319888201,0.9991345397324941,0.982649925831744
21,0.9964274949306735,0.9983870967741936,0.9832326764144946
22,0.9969138762536307,0.998859166011015,0.9838154269972452
23,0.9947046089768181,0.997285601888277,0.9773257045984318
24,0.9968282457390256,0.998859166011015,0.9831532104259377
25,0.9967991313640598,0.998780487804878,0.9834578300487391
26,0.995369101770154,0.9981510621557829,0.9766369993642721
27,0.9956311311448457,0.9977183320220299,0.9815771349862259
28,0.9966638351509838,0.9988985051140834,0.9816168679805043
29,0.9959017235709979,0.9985051140833989,0.9783720067810977
