epoch,TRA,DET,LNK
0,0.9910087959664602,0.9946892210857592,0.9662269548633184
1,0.9976639995615718,0.9993705743509048,0.9861729179910999
2,0.998484339891489,0.9998426435877262,0.9893383132019495
3,0.9984826272811969,0.9998033044846577,0.9895899554990464
4,0.9988131610675728,0.9997639653815893,0.9924109980928163
5,0.998816586288157,0.9996852871754524,0.9929672600127145
6,0.9984261111415575,0.9995279307631786,0.9910070989616444
7,0.9985751082369705,0.9996066089693155,0.9916295825386734
8,0.9987686331999781,0.9996459480723839,0.9928613053613053
9,0.9984706390091522,0.9994885916601102,0.9916163382072473
10,0.9966569847098153,0.9982297403619197,0.9860669633396906
11,0.9986727270236203,0.9996852871754524,0.991854736172918
12,0.9980459116567106,0.9994885916601102,0.9883317440135622
13,0.9966278703348496,0.9989378442171518,0.9810738503920322
14,0.9972324217679619,0.9992525570416995,0.983630006357279
15,0.9970166328711569,0.9988985051140834,0.9843452002542912
16,0.9979140406642187,0.9991738788355625,0.9894310235219326
17,0.9973916945251274,0.9991345397324941,0.9856563890654799
18,0.9976554365101112,0.9992525570416995,0.986901356219538
19,0.998033923384666,0.9994099134539732,0.9887688069506251
20,0.997451635885351,0.9993705743509048,0.9845306208942572
21,0.9965696415849181,0.9987411487018096,0.981947976266158
22,0.9981966213624157,0.9994492525570416,0.9897621318075863
23,0.9968607853345756,0.9987411487018096,0.9841995126086035
