epoch,TRA,DET,LNK
0,0.9897003617032937,0.9935877261998426,0.9635251112523839
1,0.9978643749657478,0.9996066089693155,0.9861331849968213
2,0.9983627445607497,0.9997639653815893,0.9889277389277389
3,0.9987241053323834,0.9998033044846577,0.9914574062301335
4,0.9986333369869019,0.9996459480723839,0.9918150031786396
5,0.9987121170603387,0.9996066089693155,0.9926891290527654
6,0.9986607387515756,0.999567269866247,0.992556685738504
7,0.9988850906998411,0.9997246262785209,0.9932321466412376
8,0.9963658409601578,0.9977576711250984,0.986994066539521
9,0.9983781580533786,0.9994492525570416,0.9911660309387582
10,0.9980990025757659,0.9994885916601102,0.9887423182877728
11,0.9972838000767249,0.998859166011015,0.9866762025852935
12,0.9974773250397325,0.998780487804878,0.9887025852934944
13,0.9980716008110923,0.9993312352478364,0.9895899554990464
14,0.998085301693429,0.9991738788355625,0.9907554566645476
15,0.9979020523921741,0.9994099134539732,0.9877489934308116
16,0.9960746972105003,0.9987018095987411,0.9783852511125238
17,0.9978729380172083,0.9995279307631786,0.9867291799109981
18,0.9973300405546117,0.999213217938631,0.9846498198770927
19,0.9970697237902121,0.9991345397324941,0.9831664547573639
20,0.9976331725763139,0.9991738788355625,0.9872589531680441
21,0.9974071080177563,0.9990165224232888,0.9865702479338843
22,0.9970440346358306,0.9989378442171518,0.9842922229285865
23,0.9944477174330026,0.9978756884343037,0.9713657554566646
