epoch,TRA,DET,LNK
0,0.9928430015893024,0.9960267505900865,0.971405488450943
1,0.9976828382747849,0.9996852871754524,0.9841995126086035
2,0.9985151668767469,0.9999213217938631,0.9890469379105743
3,0.998734380994136,0.9998426435877262,0.9912719855901674
4,0.9983832958842549,0.9994492525570416,0.9912057639330366
5,0.998734380994136,0.9996066089693155,0.9928613053613053
6,0.9986059352222283,0.9996066089693155,0.9918679805043441
7,0.9971091138269305,0.998347757671125,0.9887688069506251
8,0.9984295363621417,0.9995279307631786,0.9910335876244967
9,0.998801172795528,0.999567269866247,0.9936427209154481
10,0.9978540993039952,0.9992525570416995,0.9884376986649714
11,0.9984603633473996,0.9996459480723839,0.9904773257045985
12,0.9973317531649039,0.9989378442171518,0.9865172706081797
13,0.9965610785334575,0.9989378442171518,0.9805573214664124
14,0.9980099468405765,0.9994492525570416,0.988318499682136
15,0.9979962459582397,0.9994099134539732,0.9884774316592498
16,0.9974636241573958,0.9991738788355625,0.9859477643568553
17,0.9971964569518277,0.9990558615263572,0.9846763085399449
18,0.9979123280539267,0.9992525570416995,0.9888880059334605
19,0.97827896366526,0.983477576711251,0.9432745285018013
20,0.9961894421000712,0.998859166011015,0.9782130748039839
21,0.9965388145996602,0.9987018095987411,0.9819744649290104
22,0.9975578177234614,0.9992918961447679,0.9858815426997245
23,0.9969053132021702,0.998780487804878,0.9842789785971604
24,0.996468597577684,0.9986231313926043,0.9819612205975843
25,0.9956585329095193,0.9982690794649882,0.9780806314897224
26,0.9949049843809942,0.9978756884343037,0.9749019919474465
27,0.9973300405546117,0.9992525570416995,0.9843849332485696
28,0.9957561516961693,0.9986231313926043,0.976451578724306
29,0.9942267907053214,0.9970889063729347,0.9749549692731511
30,0.9967289143420837,0.9986231313926043,0.983974358974359
31,0.9972272839370856,0.9990952006294257,0.9846498198770927
32,0.9947714007782101,0.997639653815893,0.9754582538673447
