Wall time,Step,Value
1761999789.7872,18,0.0017124806763604283
1762000014.2896793,42,0.0016231819754466414
1762000042.7622895,45,0.0009976400760933757
1762000145.3248343,56,0.0003438978746999055
1762000285.8284116,71,0.00020463303371798247
1762000501.4248033,94,0.0001442033681087196
1762001073.1395094,155,8.083407738013193e-05
1762001101.1983602,158,8.386041008634493e-05
1762001185.20788,167,8.13714723335579e-05
1762001765.0682158,229,7.76147935539484e-05
1762001811.8808181,234,6.377409590641037e-05
1762002008.9501796,255,6.463201134465635e-05
1762002120.9235606,267,6.255882908590138e-05
1762002177.2035723,273,5.552602306124754e-05
1762002504.9083471,308,4.4504671677714214e-05
1762002523.6494184,310,4.780629024025984e-05
1762002598.3893583,318,5.232605690252967e-05
1762002869.7370932,347,4.0037739381659776e-05
1762003057.4917738,367,4.293499296181835e-05
1762003562.7490935,421,3.0135126507957466e-05
1762003759.140503,442,3.209272472304292e-05
1762003927.906331,460,2.932871393568348e-05
1762004058.4045153,474,3.4509946999605745e-05
1762004639.644637,536,2.3534865249530412e-05
1762004893.3352633,563,2.271943594678305e-05
1762005044.3800697,579,2.2437005100073293e-05
1762005109.541005,586,2.3124828658183105e-05
1762005118.8262873,587,2.307755858055316e-05
1762005428.184581,620,2.215724452980794e-05
1762005559.8751893,634,2.3526936274720356e-05
1762005681.048813,647,2.055823824775871e-05
1762005812.0573041,661,2.1118185031809844e-05
1762005905.6746955,671,1.7697839211905375e-05
1762006307.723594,714,2.0650000806199387e-05
1762006382.358477,722,2.0239715013303794e-05
1762006457.4306078,730,1.7910997485159896e-05
1762006785.1378899,765,1.8540036762715317e-05
1762006822.2408926,769,1.669925950409379e-05
1762006841.2022297,771,2.044592474703677e-05
1762006972.5895174,785,1.758052530931309e-05
1762006991.544302,787,1.5149956198001746e-05
1762007057.1205668,794,1.7387921616318636e-05
1762007132.4380796,802,1.7524473150842823e-05
1762007188.7610533,808,2.120174394804053e-05
1762007450.8658507,836,1.6508649423485622e-05
1762008472.1361687,945,1.5755744243506342e-05
1762008630.7858272,962,1.4245126294554211e-05
1762008715.0722225,971,1.5229465134325437e-05
1762008724.2411077,972,1.7149241102742963e-05
1762008780.2666914,978,1.4123139408184215e-05
1762008836.2236736,984,1.4629737961513456e-05
1762009005.3316798,1002,1.426925155101344e-05
1762009033.6828296,1005,1.385075938742375e-05
1762009118.5994964,1014,1.879885712696705e-05
1762009577.6045425,1063,1.7472872059443034e-05
1762009605.4520614,1066,1.4899055713613052e-05
1762009661.6280718,1072,1.4056994587008376e-05
1762009718.3705728,1078,1.4914081475581042e-05
1762009858.647885,1093,1.3908995242672972e-05
1762009915.015712,1099,1.554147274873685e-05
1762009961.7924006,1104,1.5093250112840906e-05
1762010449.8056302,1156,1.2770198736689053e-05
1762010496.9108012,1161,1.724921094137244e-05
1762010506.4568856,1162,1.6197547665797174e-05
1762010674.7200308,1180,1.5981149772414938e-05
1762010796.4689362,1193,1.3805714843329042e-05
1762011275.5893757,1244,1.204029922519112e-05
1762011434.5379908,1261,1.2883022463938687e-05
1762011950.6148334,1316,1.3095106623950414e-05
1762011979.2449431,1319,1.1593069757509511e-05
1762012110.7325234,1333,1.1989999620709568e-05
1762012148.4381812,1337,1.2911049452668522e-05
1762012598.1556742,1385,1.4031801583769266e-05
1762012663.7892973,1392,1.1546446330612525e-05
1762012870.4100127,1414,1.3459026376949623e-05
1762012982.6745203,1426,1.2218508345540613e-05
1762013076.0609717,1436,1.1286374501651153e-05
1762013355.936984,1466,1.2956859791302122e-05
1762013458.4955614,1477,1.1770952369261067e-05
1762013533.8423789,1485,1.1297290257061832e-05
1762013590.0706716,1491,1.3439231224765535e-05
1762013890.3027723,1523,1.220920603373088e-05
1762014162.853742,1552,1.1755501873267349e-05
1762014312.5918717,1568,1.2047657946823165e-05
1762014462.4320407,1584,1.2094844350940548e-05
1762014499.561857,1588,1.321788386121625e-05
1762014658.742497,1605,1.5664176316931844e-05
1762014987.1717322,1640,1.2975409845239483e-05
1762015381.0352983,1682,1.3565399058279581e-05
1762015464.9635139,1691,1.1653480214590672e-05
1762015521.3564398,1697,1.1905243809451349e-05
1762015568.3489008,1702,1.1574423297133762e-05
1762015634.0806828,1709,1.1273624295426998e-05
