Wall time,Step,Value
1761999777.504464,18,0.002061524661257863
1761999999.5066664,42,0.0019658715464174747
1762000027.793183,45,0.001984218368306756
1762000129.4948602,56,0.0020073330961167812
1762000268.8907616,71,0.0019857860170304775
1762000482.679522,94,0.0019638030789792538
1762001048.7586641,155,0.001983614871278405
1762001076.3808153,158,0.0019107344560325146
1762001160.0951362,167,0.0019525943789631128
1762001735.883741,229,0.001950913341715932
1762001782.559184,234,0.0019178707152605057
1762001977.764882,255,0.0019223783165216446
1762002089.2141483,267,0.001902679679915309
1762002144.8872125,273,0.001933206571266055
1762002467.7389424,308,0.001846378785558045
1762002486.18173,310,0.0019044721266254783
1762002559.981786,318,0.0018355227075517178
1762002828.5114515,347,0.0010746821062639356
1762003014.4254105,367,0.0009171284618787467
1762003514.7970011,421,0.0006463118479587138
1762003708.5080223,442,0.000618085905443877
1762003875.0561461,460,0.0005812848685309291
1762004004.7428768,474,0.0005536579410545528
1762004577.9094472,536,0.0004791271931026131
1762004829.2823384,563,0.00046467912034131587
1762004977.1271062,579,0.00045335074537433684
1762005041.9998589,586,0.00044533773325383663
1762005051.2510421,587,0.0004465592501219362
1762005359.1033194,620,0.0004332177632022649
1762005488.8073037,634,0.0004290516662877053
1762005609.9711263,647,0.00042471769847907126
1762005740.650281,661,0.00041693178354762495
1762005833.2306402,671,0.00040855410043150187
1762006232.2135148,714,0.00039546770858578384
1762006306.4791806,722,0.00039484770968556404
1762006380.5963671,730,0.0003781441773753613
1762006705.7248683,765,0.0003815191157627851
1762006743.0892644,769,0.00037804394378326833
1762006761.7379158,771,0.0003703562542796135
1762006891.5356064,785,0.00037242571124807
1762006909.8394291,787,0.0003701049427036196
1762006974.9985964,794,0.00037381722358986735
1762007049.4744034,802,0.0003689000441227108
1762007105.1355293,808,0.0003640639188233763
1762007366.811687,836,0.00036375896888785064
1762008376.253949,945,0.0003315489157103002
1762008533.4211671,962,0.0003358957474119961
1762008617.0217187,971,0.000326019071508199
1762008626.1486979,972,0.0003261531819589436
1762008682.0921092,978,0.00032906592241488397
1762008737.455938,984,0.0003309516760054976
1762008903.6864347,1002,0.0003296617360319942
1762008931.4230042,1005,0.00033026476739905775
