Wall time,Step,Value
1761999839.990896,18,0.007001074496656656
1762000081.676989,42,0.0069220783188939095
1762000112.1187687,45,0.006832012441009283
1762000222.6496437,56,0.006772014778107405
1762000374.04648,71,0.007036720868200064
1762000604.3676195,94,0.0007908922852948308
1762001219.0036378,155,0.0002232477127108723
1762001249.0740864,158,0.0002269592514494434
1762001340.0959804,167,0.00020561575365718454
1762001963.142685,229,0.00012974908167961985
1762002013.5541663,234,0.00012150946713518351
1762002225.7025008,255,0.00011040459503419697
1762002346.7754126,267,0.00012129324022680521
1762002406.7690458,273,0.00010982941603288054
1762002759.459296,308,0.00010341626330045983
1762002779.6990347,310,9.923709876602516e-05
1762002860.4929333,318,0.00010587507858872414
1762003152.5006974,347,8.478626114083454e-05
1762003354.4008174,367,8.579212590120733e-05
1762003897.781242,421,7.51429979573004e-05
1762004109.45236,442,7.336006092373282e-05
1762004292.0694003,460,7.165986608015373e-05
1762004432.8491511,474,6.979588215472177e-05
1762005059.288758,536,6.902083987370133e-05
1762005330.8167987,563,6.394000956788659e-05
1762005492.5168557,579,7.438349712174386e-05
1762005563.1686878,586,6.0540492995642126e-05
1762005573.147574,587,6.391958595486358e-05
1762005906.5517707,620,6.594925071112812e-05
1762006047.8940163,634,5.994051389279775e-05
1762006128.3735137,642,6.27314075245522e-05
1762006178.7796519,647,6.15960598224774e-05
1762006320.5249572,661,5.929199687670916e-05
1762006422.2108495,671,5.8153287682216614e-05
1762006854.443386,714,5.7099503464996815e-05
1762006935.3116326,722,5.999756103847176e-05
1762007016.078901,730,5.5538916058139876e-05
1762007278.3980474,756,5.62242821615655e-05
1762007369.8079813,765,5.635805428028107e-05
1762007410.1408138,769,5.666204378940165e-05
1762007429.946397,771,5.662794137606397e-05
1762007571.0706723,785,5.822190360049717e-05
1762007591.2739768,787,5.613900430034846e-05
1762007661.4828122,794,5.367447010939941e-05
1762007742.549915,802,5.563930972130038e-05
1762007803.2691255,808,5.5159616749733686e-05
1762008086.04661,836,5.163880996406078e-05
1762009180.4848897,945,5.21162583027035e-05
1762009351.9968705,962,5.3079118515597656e-05
1762009443.325298,971,4.8492005589650944e-05
1762009453.392705,972,5.177147249924019e-05
1762009514.3461978,978,5.32494013896212e-05
1762009574.0179853,984,5.054705616203137e-05
1762009754.361283,1002,5.385456825024448e-05
1762009784.9897056,1005,4.886231545242481e-05
1762009875.924334,1014,4.980972153134644e-05
1762010370.319209,1063,4.915137469652109e-05
1762010400.6415856,1066,4.5718468754785135e-05
1762010461.52282,1072,4.916307079838589e-05
1762010522.0669277,1078,4.551675738184713e-05
1762010672.9180272,1093,4.862935747951269e-05
1762010733.3292358,1099,4.624946814146824e-05
1762010783.4049118,1104,4.7344303311547264e-05
1762011308.7409718,1156,4.538999201031402e-05
1762011359.4745052,1161,4.652614734368399e-05
1762011369.7172632,1162,4.700402860180475e-05
1762011551.6630368,1180,4.62628340756055e-05
1762011682.8967044,1193,4.833864659303799e-05
1762012197.9674811,1244,4.6733926865272224e-05
1762012369.608823,1261,4.617499507730827e-05
1762012571.8560967,1281,4.6311535697896034e-05
1762012924.0449576,1316,4.440316843101755e-05
1762012954.7108655,1319,4.3328524043317884e-05
1762013095.6944907,1333,4.308413917897269e-05
1762013136.0711014,1337,4.637248275685124e-05
