epoch,TRA,DET,LNK
0,0.9891043733216419,0.9929976396538159,0.9628893833439288
1,0.998083589083137,0.9997246262785209,0.9870337995337995
2,0.9982908149284814,0.9996066089693155,0.9894310235219326
3,0.9988542637145832,0.9996459480723839,0.9935235219326128
4,0.9989655833835699,0.9996852871754524,0.9941195168467896
5,0.9989244807365595,0.9996459480723839,0.9940665395210849
6,0.9989878473173672,0.9996459480723839,0.9945565797838525
7,0.9987069792294624,0.9994885916601102,0.9934440559440559
8,0.9989159176850989,0.9996852871754524,0.9937354312354313
9,0.9987789088617307,0.999567269866247,0.9934705446069082
