epoch,TRA,DET,LNK
0,0.9922915410752452,0.9959087332808811,0.9679354736172918
1,0.9981469556639447,0.9996459480723839,0.9880536130536131
2,0.9986059352222283,0.9998819826907946,0.9900137741046832
3,0.9986710144133282,0.9998426435877262,0.9907819453273998
4,0.9984398120238943,0.9994099134539732,0.9919077134986226
5,0.9988182988984491,0.9996852871754524,0.9929805043441408
6,0.9943603743081054,0.9959480723839497,0.9836697393515575
7,0.9985374308105442,0.9995279307631786,0.9918679805043441
8,0.996934427577136,0.9981510621557829,0.9887423182877728
9,0.9978078588261085,0.9992525570416995,0.9880801017164653
10,0.9985288677590837,0.9996066089693155,0.9912719855901674
11,0.9983199293034472,0.999567269866247,0.9899210637847001
12,0.9973197648928591,0.9989378442171518,0.9864245602881967
13,0.9976297473557297,0.9992918961447679,0.9864378046196228
14,0.9979568559215214,0.9996459480723839,0.9865834922653105
15,0.9959805036444347,0.9985051140833989,0.9789812460267006
16,0.9970269085329095,0.9989378442171518,0.9841597796143251
17,0.9962921987175974,0.9986624704956727,0.9803321678321678
18,0.9957218994903272,0.9984657749803304,0.977246238609875
19,0.9965422398202444,0.998780487804878,0.9814711803348167
20,0.9971622047459856,0.9988985051140834,0.9854709684255138
21,0.9947114594179866,0.9976789929189614,0.9747298156389066
22,0.9975663807749219,0.9992525570416995,0.9862126509853782
23,0.9954530196744671,0.998426435877262,0.9754317652044925
24,0.9958058173946402,0.9982690794649882,0.9792196439923713
25,0.9961089494163424,0.998780487804878,0.9781203644840009
26,0.9933995999342358,0.9966955153422502,0.9712068234795508
