epoch,TRA,DET,LNK
0,0.9936325149339618,0.9970495672698663,0.9706240728968002
1,0.998085301693429,0.9997246262785209,0.9870470438652257
2,0.9984552255165232,0.9998033044846577,0.989378046196228
3,0.9987857593028991,0.9998033044846577,0.9919342021614749
4,0.99850146599441,0.9996459480723839,0.9907951896588261
5,0.9986949909574176,0.9996066089693155,0.992556685738504
6,0.9986693018030361,0.9996066089693155,0.9923580207671117
7,0.9987429440455965,0.9996066089693155,0.9929275270184361
8,0.9985631199649257,0.999567269866247,0.9918017588472134
9,0.9978969145612977,0.9990952006294257,0.9898283534647171
10,0.9981435304433606,0.999567269866247,0.9885568976478067
11,0.9983695950019181,0.9994099134539732,0.9913646959101504
12,0.9987617827588097,0.9996066089693155,0.9930732146641238
13,0.9973437414369486,0.9990952006294257,0.9855504344140708
14,0.9978284101496137,0.9994885916601102,0.9866497139224412
15,0.998600797391352,0.9996459480723839,0.9915633608815427
16,0.9975698059955062,0.9992918961447679,0.9859742530197075
17,0.9980099468405765,0.9992918961447679,0.989378046196228
18,0.9964737354085603,0.9987411487018096,0.9812062937062938
19,0.9960387323943662,0.9985837922895358,0.9789017800381437
20,0.9971913191209514,0.998859166011015,0.9859610086882814
21,0.9975732312160903,0.9993705743509048,0.9854709684255138
22,0.9971279525401436,0.9990165224232888,0.984411421911422
23,0.9975937825395955,0.9991738788355625,0.9869543335452426
24,0.9972752370252644,0.9990165224232888,0.9855504344140708
25,0.9970132076505727,0.9990165224232888,0.9835240517058699
26,0.9966792486436127,0.9988198269079465,0.9822658402203857
27,0.9971656299665699,0.9989771833202203,0.9849676838313202
28,0.995720186880035,0.9982690794649882,0.9785574274210638
29,0.9963863922836631,0.9987018095987411,0.9807957194320831
30,0.9969327149668439,0.9990558615263572,0.9826366815003179
31,0.9961397764016002,0.9985837922895358,0.9796831955922864
