epoch,TRA,DET,LNK
0,0.9880511179919986,0.9926435877261999,0.9571280991735537
1,0.9978763632377925,0.9996066089693155,0.9862258953168044
2,0.998184633090371,0.9997246262785209,0.9878152150879423
3,0.9985031786047022,0.9996852871754524,0.9905435473617292
4,0.9989107798542226,0.9997246262785209,0.9934308116126298
5,0.9983216419137393,0.9992918961447679,0.9917885145157872
6,0.9986761522442045,0.9995279307631786,0.9929407713498623
7,0.9983302049651998,0.999213217938631,0.9923845094299639
8,0.9985442812517126,0.9994099134539732,0.9927156177156177
9,0.9984637885679838,0.9995279307631786,0.9912984742530198
10,0.997717090480627,0.9989378442171518,0.9894972451790633
11,0.9970423220255384,0.9988985051140834,0.9845438652256834
12,0.9981640817668658,0.9993705743509048,0.9900402627675355
13,0.9971330903710199,0.9985051140833989,0.9878946810764992
14,0.9976502986792349,0.9993312352478364,0.9863318499682137
15,0.9975886447087192,0.9992525570416995,0.9863848272939182
16,0.9981161286786869,0.9995279307631786,0.9886098749735114
17,0.9966946621362416,0.9989771833202203,0.981325492689129
18,0.997268386584096,0.9988198269079465,0.9868218902309811
19,0.9981229791198554,0.9994492525570416,0.989192625556262
20,0.9977667561790979,0.9990165224232888,0.9893515575333757
21,0.9979791198553187,0.9994099134539732,0.9883449883449883
22,0.9982411492300104,0.9994492525570416,0.9901064844246662
23,0.997934591987724,0.9993312352478364,0.9885304089849545
24,0.9963898175042473,0.9987018095987411,0.9808222080949354
25,0.9977205157012111,0.9993312352478364,0.9868748675566857
26,0.9976605743409875,0.9993312352478364,0.9864113159567705
27,0.9976896887159533,0.9992525570416995,0.987166242848061
28,0.9955078232038144,0.9980330448465775,0.9785044500953591
29,0.996951553680057,0.9988198269079465,0.9843716889171434
30,0.998016797281745,0.9994099134539732,0.9886363636363636
31,0.9965593659231654,0.9985444531864673,0.9831929434202161
32,0.9972700991943881,0.9990165224232888,0.9855107014197924
33,0.9976639995615718,0.9992918961447679,0.9867026912481458
34,0.9983079410314024,0.9993312352478364,0.9914176732358551
35,0.9974190962898011,0.999213217938631,0.9853385251112524
36,0.9938979695292377,0.9971675845790716,0.9718822843822844
37,0.9953656765495698,0.9979937057435091,0.9776700572155118
38,0.9963538526881132,0.9984657749803304,0.9821333969061242
39,0.9960969611442977,0.9982297403619197,0.9817360669633397
40,0.9975937825395955,0.9991738788355625,0.9869543335452426
41,0.9960404450046583,0.9982690794649882,0.9810341173977538
42,0.9971211020989752,0.9989378442171518,0.9848882178427633
43,0.996984093275607,0.9988198269079465,0.9846233312142403
44,0.9958965857401216,0.9984657749803304,0.9785971604153423
45,0.9969601167315175,0.9987411487018096,0.9849676838313202
46,0.995369101770154,0.9978363493312352,0.978756092392456
47,0.9970440346358306,0.9987411487018096,0.9856166560712015
48,0.9969977941579438,0.9989378442171518,0.9839346259800805
49,0.9958315065490217,0.9981904012588513,0.9799480822208095
50,0.9957749904093823,0.9984657749803304,0.9776568128840856
51,0.9936153888310407,0.9968922108575925,0.9715511760966307
52,0.9969001753712939,0.9989771833202203,0.982914812460267
53,0.9951498876527648,0.9978756884343037,0.9767959313413859
54,0.9968727736066203,0.998859166011015,0.9834975630430176
55,0.9965062750041103,0.9986231313926043,0.9822525958889595
56,0.9946754946018523,0.9977183320220299,0.9741867980504344
57,0.9963161752616868,0.9983870967741936,0.9823717948717948
58,0.9963076122102263,0.9988198269079465,0.9793918203009112
59,0.9961586151148134,0.9985444531864673,0.9800937698664971
60,0.9963384391954841,0.9987411487018096,0.9801599915236279
61,0.9941257466980874,0.9973249409913454,0.9725842339478703
62,0.9967991313640598,0.9989771833202203,0.9821333969061242
63,0.9953502630569409,0.9981117230527145,0.9767561983471075
64,0.9946326793445498,0.9975216365066877,0.9751801229073956
65,0.9955883158875432,0.9983084185680566,0.9772727272727273
66,0.9952303803364937,0.9979150275373722,0.9771535282898919
67,0.9932591658902833,0.9965774980330449,0.9709154481881754
68,0.9945881514769551,0.9976003147128245,0.9743059970332698
69,0.9965268263276155,0.9987018095987411,0.9818817546090274
70,0.9960421576149504,0.9986624704956727,0.97839849544395
71,0.9952834712555488,0.9979150275373722,0.9775641025641025
72,0.9926546144571711,0.9961054287962234,0.9694188387370205
73,0.9929919986847153,0.9964594807238395,0.9696439923712651
74,0.9943415355948924,0.9975216365066877,0.9729285865649502
75,0.9951413246013043,0.9979937057435091,0.9759350497986862
76,0.9945744505946182,0.9977970102281668,0.9728756092392457
77,0.9933054063681701,0.9968135326514556,0.9696837253655436
78,0.9925998109278238,0.9962234461054288,0.9682003602458148
79,0.9937900750808352,0.9968922108575925,0.9729020979020979
80,0.9928378637584261,0.9963414634146341,0.9692466624284806
81,0.994487107469721,0.9975609756097561,0.9737894681076499
