epoch,TRA,DET,LNK
0,0.9895016989094098,0.9934303697875688,0.9630483153210426
1,0.9980870143037212,0.9996852871754524,0.9873251748251748
2,0.9983730202225023,0.9996459480723839,0.9898018648018648
3,0.998667589192744,0.9997639653815893,0.9912852299215935
4,0.9986025100016441,0.999567269866247,0.9921063784700148
5,0.9988268619499096,0.9996852871754524,0.9930467260012714
6,0.9986881405162492,0.9996852871754524,0.9919739351557534
7,0.9987292431632597,0.9996066089693155,0.992821572367027
8,0.9985100290458706,0.9994492525570416,0.9921858444585717
9,0.9988114484572806,0.9997639653815893,0.9923977537613902
10,0.9973797062530827,0.9990558615263572,0.986093452002543
11,0.9983404806269524,0.9994885916601102,0.9906097690188599
12,0.9981401052227763,0.9994099134539732,0.9895899554990464
13,0.9965747794157944,0.9985051140833989,0.9835770290315745
14,0.9962151312544528,0.9986624704956727,0.9797361729179911
15,0.9976126212528087,0.9991345397324941,0.9873649078194533
16,0.9964925741217734,0.9986624704956727,0.9818817546090274
17,0.9963298761440237,0.9987018095987411,0.9803586564950202
18,0.9957989669534718,0.9981510621557829,0.9799613265522357
19,0.9963298761440237,0.9988198269079465,0.9795639966094511
20,0.9972084452238724,0.9990952006294257,0.984504132231405
21,0.9980048090097002,0.9992525570416995,0.9896031998304725
22,0.9963435770263604,0.9985051140833989,0.9817890442890442
23,0.9969224393050913,0.9989771833202203,0.983086988768807
24,0.9962630843426317,0.9986231313926043,0.9803719008264463
25,0.9962254069162054,0.9987411487018096,0.979285865649502
26,0.9973060640105222,0.9989378442171518,0.9863186056367874
27,0.9948313421384337,0.9974429583005507,0.977246238609875
28,0.995917137063627,0.9985051140833989,0.978491205763933
29,0.9943843508521949,0.9979937057435091,0.970081055308328
30,0.9946754946018523,0.9974036191974823,0.9763058910786183
31,0.9955009727626459,0.9979150275373722,0.9792461326552235
32,0.9969738176138543,0.9989771833202203,0.9834843187115915
33,0.9939990135364718,0.9970102281667979,0.9737232464505192
34,0.9971313777607278,0.9991345397324941,0.9836432506887053
35,0.9959496766591769,0.9985444531864673,0.9784779614325069
36,0.9956996355565298,0.9980330448465775,0.9799878152150879
37,0.9905994821066477,0.9951219512195122,0.9601478067387158
